"Country or Area","Year","Area","Sex","Age","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Germany","2018","Total","Female","0","Estimate - de jure","Final figure, complete","2018","382505","1"
"Germany","2018","Total","Female","0 - 4","Estimate - de jure","Final figure, complete","2018","1872560","1"
"Germany","2018","Total","Female","1","Estimate - de jure","Final figure, complete","2018","388384","1"
"Germany","2018","Total","Female","1 - 4","Estimate - de jure","Final figure, complete","2018","1490055","1"
"Germany","2018","Total","Female","2","Estimate - de jure","Final figure, complete","2018","374705","1"
"Germany","2018","Total","Female","3","Estimate - de jure","Final figure, complete","2018","370084","1"
"Germany","2018","Total","Female","4","Estimate - de jure","Final figure, complete","2018","356882","1"
"Germany","2018","Total","Female","5","Estimate - de jure","Final figure, complete","2018","355717","1"
"Germany","2018","Total","Female","5 - 9","Estimate - de jure","Final figure, complete","2018","1770798","1"
"Germany","2018","Total","Female","6","Estimate - de jure","Final figure, complete","2018","347930","1"
"Germany","2018","Total","Female","7","Estimate - de jure","Final figure, complete","2018","356439","1"
"Germany","2018","Total","Female","8","Estimate - de jure","Final figure, complete","2018","350372","1"
"Germany","2018","Total","Female","9","Estimate - de jure","Final figure, complete","2018","360340","1"
"Germany","2018","Total","Female","10","Estimate - de jure","Final figure, complete","2018","357375","1"
"Germany","2018","Total","Female","10 - 14","Estimate - de jure","Final figure, complete","2018","1787506","1"
"Germany","2018","Total","Female","11","Estimate - de jure","Final figure, complete","2018","349789","1"
"Germany","2018","Total","Female","12","Estimate - de jure","Final figure, complete","2018","355014","1"
"Germany","2018","Total","Female","13","Estimate - de jure","Final figure, complete","2018","362780","1"
"Germany","2018","Total","Female","14","Estimate - de jure","Final figure, complete","2018","362548","1"
"Germany","2018","Total","Female","15","Estimate - de jure","Final figure, complete","2018","367881","1"
"Germany","2018","Total","Female","15 - 19","Estimate - de jure","Final figure, complete","2018","1949255","1"
"Germany","2018","Total","Female","16","Estimate - de jure","Final figure, complete","2018","376356","1"
"Germany","2018","Total","Female","17","Estimate - de jure","Final figure, complete","2018","394753","1"
"Germany","2018","Total","Female","18","Estimate - de jure","Final figure, complete","2018","397216","1"
"Germany","2018","Total","Female","19","Estimate - de jure","Final figure, complete","2018","413049","1"
"Germany","2018","Total","Female","20","Estimate - de jure","Final figure, complete","2018","434650","1"
"Germany","2018","Total","Female","20 - 24","Estimate - de jure","Final figure, complete","2018","2189438","1"
"Germany","2018","Total","Female","21","Estimate - de jure","Final figure, complete","2018","434280","1"
"Germany","2018","Total","Female","22","Estimate - de jure","Final figure, complete","2018","427501","1"
"Germany","2018","Total","Female","23","Estimate - de jure","Final figure, complete","2018","437546","1"
"Germany","2018","Total","Female","24","Estimate - de jure","Final figure, complete","2018","455461","1"
"Germany","2018","Total","Female","25","Estimate - de jure","Final figure, complete","2018","466443","1"
"Germany","2018","Total","Female","25 - 29","Estimate - de jure","Final figure, complete","2018","2548258","1"
"Germany","2018","Total","Female","26","Estimate - de jure","Final figure, complete","2018","485393","1"
"Germany","2018","Total","Female","27","Estimate - de jure","Final figure, complete","2018","530790","1"
"Germany","2018","Total","Female","28","Estimate - de jure","Final figure, complete","2018","527097","1"
"Germany","2018","Total","Female","29","Estimate - de jure","Final figure, complete","2018","538535","1"
"Germany","2018","Total","Female","30","Estimate - de jure","Final figure, complete","2018","528288","1"
"Germany","2018","Total","Female","30 - 34","Estimate - de jure","Final figure, complete","2018","2573555","1"
"Germany","2018","Total","Female","31","Estimate - de jure","Final figure, complete","2018","522536","1"
"Germany","2018","Total","Female","32","Estimate - de jure","Final figure, complete","2018","507806","1"
"Germany","2018","Total","Female","33","Estimate - de jure","Final figure, complete","2018","505949","1"
"Germany","2018","Total","Female","34","Estimate - de jure","Final figure, complete","2018","508976","1"
"Germany","2018","Total","Female","35","Estimate - de jure","Final figure, complete","2018","520393","1"
"Germany","2018","Total","Female","35 - 39","Estimate - de jure","Final figure, complete","2018","2550417","1"
"Germany","2018","Total","Female","36","Estimate - de jure","Final figure, complete","2018","519324","1"
"Germany","2018","Total","Female","37","Estimate - de jure","Final figure, complete","2018","522512","1"
"Germany","2018","Total","Female","38","Estimate - de jure","Final figure, complete","2018","497611","1"
"Germany","2018","Total","Female","39","Estimate - de jure","Final figure, complete","2018","490577","1"
"Germany","2018","Total","Female","40","Estimate - de jure","Final figure, complete","2018","485768","1"
"Germany","2018","Total","Female","40 - 44","Estimate - de jure","Final figure, complete","2018","2377131","1"
"Germany","2018","Total","Female","41","Estimate - de jure","Final figure, complete","2018","478122","1"
"Germany","2018","Total","Female","42","Estimate - de jure","Final figure, complete","2018","464448","1"
"Germany","2018","Total","Female","43","Estimate - de jure","Final figure, complete","2018","472346","1"
"Germany","2018","Total","Female","44","Estimate - de jure","Final figure, complete","2018","476447","1"
"Germany","2018","Total","Female","45","Estimate - de jure","Final figure, complete","2018","514160","1"
"Germany","2018","Total","Female","45 - 49","Estimate - de jure","Final figure, complete","2018","2944060","1"
"Germany","2018","Total","Female","46","Estimate - de jure","Final figure, complete","2018","564343","1"
"Germany","2018","Total","Female","47","Estimate - de jure","Final figure, complete","2018","584985","1"
"Germany","2018","Total","Female","48","Estimate - de jure","Final figure, complete","2018","625809","1"
"Germany","2018","Total","Female","49","Estimate - de jure","Final figure, complete","2018","654763","1"
"Germany","2018","Total","Female","50","Estimate - de jure","Final figure, complete","2018","672112","1"
"Germany","2018","Total","Female","50 - 54","Estimate - de jure","Final figure, complete","2018","3450056","1"
"Germany","2018","Total","Female","51","Estimate - de jure","Final figure, complete","2018","689020","1"
"Germany","2018","Total","Female","52","Estimate - de jure","Final figure, complete","2018","689495","1"
"Germany","2018","Total","Female","53","Estimate - de jure","Final figure, complete","2018","702531","1"
"Germany","2018","Total","Female","54","Estimate - de jure","Final figure, complete","2018","696898","1"
"Germany","2018","Total","Female","55","Estimate - de jure","Final figure, complete","2018","675841","1"
"Germany","2018","Total","Female","55 - 59","Estimate - de jure","Final figure, complete","2018","3205222","1"
"Germany","2018","Total","Female","56","Estimate - de jure","Final figure, complete","2018","667542","1"
"Germany","2018","Total","Female","57","Estimate - de jure","Final figure, complete","2018","644986","1"
"Germany","2018","Total","Female","58","Estimate - de jure","Final figure, complete","2018","625938","1"
"Germany","2018","Total","Female","59","Estimate - de jure","Final figure, complete","2018","590915","1"
"Germany","2018","Total","Female","60","Estimate - de jure","Final figure, complete","2018","577318","1"
"Germany","2018","Total","Female","60 - 64","Estimate - de jure","Final figure, complete","2018","2747063","1"
"Germany","2018","Total","Female","61","Estimate - de jure","Final figure, complete","2018","561979","1"
"Germany","2018","Total","Female","62","Estimate - de jure","Final figure, complete","2018","546495","1"
"Germany","2018","Total","Female","63","Estimate - de jure","Final figure, complete","2018","538981","1"
"Germany","2018","Total","Female","64","Estimate - de jure","Final figure, complete","2018","522290","1"
"Germany","2018","Total","Female","65","Estimate - de jure","Final figure, complete","2018","520296","1"
"Germany","2018","Total","Female","65 - 69","Estimate - de jure","Final figure, complete","2018","2459543","1"
"Germany","2018","Total","Female","66","Estimate - de jure","Final figure, complete","2018","507989","1"
"Germany","2018","Total","Female","67","Estimate - de jure","Final figure, complete","2018","505726","1"
"Germany","2018","Total","Female","68","Estimate - de jure","Final figure, complete","2018","485519","1"
"Germany","2018","Total","Female","69","Estimate - de jure","Final figure, complete","2018","440013","1"
"Germany","2018","Total","Female","70","Estimate - de jure","Final figure, complete","2018","413143","1"
"Germany","2018","Total","Female","70 - 74","Estimate - de jure","Final figure, complete","2018","1927417","1"
"Germany","2018","Total","Female","71","Estimate - de jure","Final figure, complete","2018","358370","1"
"Germany","2018","Total","Female","72","Estimate - de jure","Final figure, complete","2018","316369","1"
"Germany","2018","Total","Female","73","Estimate - de jure","Final figure, complete","2018","418242","1"
"Germany","2018","Total","Female","74","Estimate - de jure","Final figure, complete","2018","421293","1"
"Germany","2018","Total","Female","75","Estimate - de jure","Final figure, complete","2018","404830","1"
"Germany","2018","Total","Female","75 - 79","Estimate - de jure","Final figure, complete","2018","2350988","1"
"Germany","2018","Total","Female","76","Estimate - de jure","Final figure, complete","2018","490065","1"
"Germany","2018","Total","Female","77","Estimate - de jure","Final figure, complete","2018","510363","1"
"Germany","2018","Total","Female","78","Estimate - de jure","Final figure, complete","2018","495420","1"
"Germany","2018","Total","Female","79","Estimate - de jure","Final figure, complete","2018","450310","1"
"Germany","2018","Total","Female","80","Estimate - de jure","Final figure, complete","2018","409364","1"
"Germany","2018","Total","Female","80 - 84","Estimate - de jure","Final figure, complete","2018","1698542","1"
"Germany","2018","Total","Female","81","Estimate - de jure","Final figure, complete","2018","383119","1"
"Germany","2018","Total","Female","82","Estimate - de jure","Final figure, complete","2018","355053","1"
"Germany","2018","Total","Female","83","Estimate - de jure","Final figure, complete","2018","312983","1"
"Germany","2018","Total","Female","84","Estimate - de jure","Final figure, complete","2018","238023","1"
"Germany","2018","Total","Female","85","Estimate - de jure","Final figure, complete","2018","222399","1"
"Germany","2018","Total","Female","85 - 89","Estimate - de jure","Final figure, complete","2018","968220","1"
"Germany","2018","Total","Female","86","Estimate - de jure","Final figure, complete","2018","210002","1"
"Germany","2018","Total","Female","87","Estimate - de jure","Final figure, complete","2018","203270","1"
"Germany","2018","Total","Female","88","Estimate - de jure","Final figure, complete","2018","177652","1"
"Germany","2018","Total","Female","89","Estimate - de jure","Final figure, complete","2018","154897","1"
"Germany","2018","Total","Female","90","Estimate - de jure","Final figure, complete","2018","128592","1"
"Germany","2018","Total","Female","90 - 94","Estimate - de jure","Final figure, complete","2018","454581","1"
"Germany","2018","Total","Female","91","Estimate - de jure","Final figure, complete","2018","110079","1"
"Germany","2018","Total","Female","92","Estimate - de jure","Final figure, complete","2018","91677","1"
"Germany","2018","Total","Female","93","Estimate - de jure","Final figure, complete","2018","70288","1"
"Germany","2018","Total","Female","94","Estimate - de jure","Final figure, complete","2018","53945","1"
"Germany","2018","Total","Female","95","Estimate - de jure","Final figure, complete","2018","41437","1"
"Germany","2018","Total","Female","95 - 99","Estimate - de jure","Final figure, complete","2018","112389","1"
"Germany","2018","Total","Female","96","Estimate - de jure","Final figure, complete","2018","31965","1"
"Germany","2018","Total","Female","97","Estimate - de jure","Final figure, complete","2018","21844","1"
"Germany","2018","Total","Female","98","Estimate - de jure","Final figure, complete","2018","12050","1"
"Germany","2018","Total","Female","99","Estimate - de jure","Final figure, complete","2018","5093","1"
"Germany","2018","Total","Female","100","Estimate - de jure","Final figure, complete","2019","3235","1"
